City_ID,City,Country,Latitude,Longitude,Max Temperature,Percent Humidity,Percent Cloudiness,Wind Speed,Weather Description
252,Dunedin,NZ,-45.8742,170.5036,50.81,84,36,3.0,scattered clouds
253,Juneau,US,58.3019,-134.4197,42.84,95,75,3.44,fog
254,Stanger,ZA,-29.3282,31.2895,67.89,78,0,4.03,clear sky
255,Kudahuvadhoo,MV,2.6708,72.8944,85.59,70,100,9.4,overcast clouds
256,Bengkulu,ID,-3.8004,102.2655,78.35,87,92,4.21,overcast clouds
257,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,100,100,4.47,light shower snow
258,Vallenar,CL,-28.5708,-70.7581,83.41,8,0,4.36,clear sky
259,Pontianak,ID,-0.0333,109.3333,80.58,88,20,3.44,few clouds
260,Cidreira,BR,-30.1811,-50.2056,80.64,65,42,14.56,heavy intensity rain
261,Likhoslavl,RU,57.1275,35.464,38.01,69,69,1.43,broken clouds
262,Bluefield,US,37.2698,-81.2223,59.5,45,0,17.27,clear sky
263,Esperance,AU,-33.8667,121.9,53.44,74,59,13.71,light rain
264,Phan Thiet,VN,10.9333,108.1,80.64,86,99,7.36,overcast clouds
265,Kramat,ID,-8.1311,113.4499,75.22,97,100,2.04,light rain
266,Goure,NE,13.9835,10.2704,103.01,8,100,1.81,overcast clouds
267,Komsomolskiy,UZ,40.4272,71.7189,68.72,45,99,4.61,overcast clouds
268,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,81,20,10.36,few clouds
269,Jutai,BR,-5.1833,-68.9,89.47,55,28,3.49,scattered clouds
270,Swan River,CA,52.1058,-101.2676,42.69,61,100,3.44,overcast clouds
271,Salalah,OM,17.0151,54.0924,86.09,74,20,6.91,few clouds
272,Sabha,LY,27.0377,14.4283,95.59,6,1,22.26,clear sky
273,Cabinda,AO,-5.55,12.2,81.01,77,76,7.54,broken clouds
274,Mehamn,NO,71.0357,27.8492,24.71,68,100,25.95,light snow
275,Paamiut,GL,61.994,-49.6678,35.94,97,100,19.33,light rain
276,Grand Gaube,MU,-20.0064,57.6608,75.6,79,0,1.83,clear sky
277,Gasa,PS,31.5,34.4667,71.89,59,0,9.08,clear sky
278,General Roca,AR,-39.0333,-67.5833,55.62,25,44,15.79,scattered clouds
279,Mogadishu,SO,2.0371,45.3438,84.0,73,53,14.94,broken clouds
280,Pocone,BR,-16.2567,-56.6228,95.45,28,7,8.5,clear sky
281,Sitka,US,57.0531,-135.33,44.49,76,75,3.44,broken clouds
282,Shancheng,CN,34.7953,116.0817,46.38,95,80,3.4,broken clouds
283,Qaqortoq,GL,60.7167,-46.0333,43.68,68,100,2.55,overcast clouds
284,College,US,64.8569,-147.8028,39.09,68,40,4.61,scattered clouds
285,Marfino,RU,55.7028,37.3822,47.95,39,0,6.71,clear sky
286,Lasa,IT,46.6166,10.7002,62.69,48,5,5.53,clear sky
287,Ribeirao Branco,BR,-24.2208,-48.7656,79.25,52,24,7.43,few clouds
288,Yarada,IN,17.65,83.2667,86.32,74,75,5.75,broken clouds
289,Mount Isa,AU,-20.7333,139.5,78.57,69,13,5.75,few clouds
290,Lagoa,PT,39.05,-27.9833,58.6,96,100,6.98,heavy intensity rain
291,Jiazi,CN,22.8779,116.067,75.7,93,2,1.92,clear sky
292,Victor Harbor,AU,-35.5667,138.6167,65.68,77,26,7.49,scattered clouds
293,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,18.41,scattered clouds
294,Coihaique,CL,-45.5752,-72.0662,44.55,53,75,3.44,broken clouds
295,Saint George,US,37.1041,-113.5841,76.24,18,0,5.01,clear sky
296,Pingdingshan,CN,33.7385,113.3012,47.73,84,82,1.45,broken clouds
297,Tuatapere,NZ,-46.1333,167.6833,44.76,95,42,2.91,scattered clouds
298,Jobner,IN,26.9667,75.3833,96.22,15,6,10.0,clear sky
299,Abashiri,JP,44.0213,144.2697,43.95,40,100,17.6,overcast clouds
300,Upernavik,GL,72.7868,-56.1549,19.92,83,100,10.71,overcast clouds
301,Ostrovnoy,RU,68.0531,39.5131,22.21,78,92,15.46,overcast clouds
302,Itirucu,BR,-13.5317,-40.1503,80.47,44,18,9.78,few clouds
303,Serowe,BW,-22.3833,26.7167,66.67,38,0,5.57,clear sky
304,Valence,ES,39.4697,-0.3774,67.71,58,75,10.36,broken clouds
305,Leua,SK,48.2156,18.6071,65.5,64,84,4.27,broken clouds
306,Ust-Tsilma,RU,65.441,52.1498,26.11,78,48,4.0,scattered clouds
307,Gat,IL,31.61,34.7642,74.39,46,0,8.88,clear sky
308,San Cristobal,VE,7.7669,-72.225,71.78,59,100,4.03,overcast clouds
309,Zuenoula,CI,7.4292,-6.0431,88.77,51,88,9.84,overcast clouds
310,Pemba,MZ,-12.974,40.5178,81.3,69,40,9.22,scattered clouds
311,Rock Sound,BS,24.9,-76.2,74.19,64,0,6.76,clear sky
