City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Shu,KZ,2022-04-25 03:27:44,43.5983,73.7614,54.01,56,67,17.72
207,Greenwood,US,2022-04-25 03:27:45,34.1668,-82.1165,61.16,63,20,0.0
208,Bagnes,CH,2022-04-25 03:27:46,46.0833,7.2167,46.85,87,75,0.0
209,Bambous Virieux,MU,2022-04-25 03:27:46,-20.3428,57.7575,76.21,78,75,12.66
210,Roma,US,2022-04-25 03:27:47,43.2128,-75.4557,60.82,48,0,9.22
211,Djambala,CG,2022-04-25 03:27:47,-2.5447,14.7533,67.87,94,100,2.68
212,Faanui,PF,2022-04-25 03:27:48,-16.4833,-151.75,81.03,73,26,6.76
213,San Ignacio,BZ,2022-04-25 03:27:48,17.1561,-89.0714,78.94,83,0,9.22
214,Cherskiy,RU,2022-04-25 03:27:49,68.75,161.3,26.91,73,100,7.43
215,Qazigund,IN,2022-04-25 03:27:49,33.6333,75.15,61.39,54,84,1.43
216,Praia Da Vitoria,PT,2022-04-25 03:27:50,38.7333,-27.0667,57.45,88,20,17.36
217,Khatanga,RU,2022-04-25 03:27:51,71.9667,102.5,5.79,90,89,5.46
218,Druzhba,UA,2022-04-25 03:27:51,52.0428,33.9453,43.14,85,2,8.05
219,San Jeronimito,MX,2022-04-25 03:27:52,17.55,-101.3333,76.53,75,18,4.21
220,Longview,US,2022-04-25 03:27:52,32.5007,-94.7405,77.25,70,0,6.91
221,Saldanha,ZA,2022-04-25 03:27:53,-33.0117,17.9442,50.05,79,0,11.21
222,Porosozero,RU,2022-04-25 03:28:53,62.7191,32.727,27.75,91,23,4.27
223,Nelson Bay,AU,2022-04-25 03:28:54,-32.7167,152.15,71.01,86,93,2.95
224,Wilmington,US,2022-04-25 03:25:54,34.2257,-77.9447,69.85,82,0,8.05
225,Bako,ET,2022-04-25 03:28:54,5.7833,36.5667,61.77,94,98,3.36
226,Banki,IN,2022-04-25 03:28:55,20.3833,85.5333,89.71,33,3,3.15
227,Kamenka,RU,2022-04-25 03:28:55,51.3223,42.7678,51.73,79,100,10.13
228,Fortuna,US,2022-04-25 03:28:57,40.5982,-124.1573,52.66,89,0,9.22
229,Porirua,NZ,2022-04-25 03:28:58,-41.1333,174.85,63.55,70,47,4.47
230,Benguela,AO,2022-04-25 03:28:58,-12.5763,13.4055,74.25,87,75,1.12
231,Dukat,RU,2022-04-25 03:28:59,62.55,155.55,24.17,85,100,6.15
232,Bonavista,CA,2022-04-25 03:28:59,48.6499,-53.1147,36.28,93,100,18.41
233,Kudahuvadhoo,MV,2022-04-25 03:29:00,2.6708,72.8944,84.51,67,49,6.08
234,Faya,SA,2022-04-25 03:29:01,18.3851,42.4509,59.11,49,3,3.51
235,Kihei,US,2022-04-25 03:27:39,20.785,-156.4656,78.82,71,100,25.32
236,Yellowknife,CA,2022-04-25 03:29:02,62.456,-114.3525,34.32,64,20,12.66
237,Tautira,PF,2022-04-25 03:29:03,-17.7333,-149.15,81.3,68,14,6.53
238,Hofn,IS,2022-04-25 03:27:27,64.2539,-15.2082,41.34,87,99,4.18
239,Mabaruma,GY,2022-04-25 03:29:03,8.2,-59.7833,74.26,95,79,2.46
240,Acapulco,MX,2022-04-25 03:25:05,16.8634,-99.8901,80.42,78,20,6.91
241,Vila Do Maio,CV,2022-04-25 03:29:04,15.1333,-23.2167,74.19,80,3,12.12
242,Danane,CI,2022-04-25 03:29:05,7.2596,-8.155,68.54,99,96,1.66
243,Verkhnyaya Inta,RU,2022-04-25 03:29:06,65.9811,60.3094,27.05,92,89,8.41
244,Jumla,NP,2022-04-25 03:29:06,29.2747,82.1838,65.35,20,0,2.93
245,Vostok,RU,2022-04-25 03:29:07,46.4856,135.8833,50.14,31,96,9.66
246,Dikson,RU,2022-04-25 03:29:07,73.5069,80.5464,11.21,92,100,18.95
247,Liverpool,GB,2022-04-25 03:24:19,53.4106,-2.9779,42.75,80,2,4.61
248,Fairbanks,US,2022-04-25 03:29:08,64.8378,-147.7164,51.76,40,0,5.75
249,Qingdao,CN,2022-04-25 03:29:09,36.0986,120.3719,60.4,94,100,13.42
250,Nong Khai,TH,2022-04-25 03:29:09,17.9167,103.0833,98.29,44,2,1.92
251,Voznesenskaya,RU,2022-04-25 03:29:10,44.5527,41.0318,51.31,82,2,1.74
252,Morehead,US,2022-04-25 03:29:11,37.2711,-87.1764,68.86,81,100,3.44
253,Atar,MR,2022-04-25 03:29:11,20.5169,-13.0499,73.74,35,0,7.23
254,Alekseyevka,RU,2022-04-25 03:29:12,50.6309,38.6903,48.61,96,5,5.26
255,Asyut,EG,2022-04-25 03:29:12,27.181,31.1837,69.17,29,0,5.59
256,Soure,BR,2022-04-25 03:29:13,-0.7167,-48.5233,78.04,88,97,7.83
257,Tambopata,PE,2022-04-25 03:29:14,-12.7333,-69.1833,77.38,85,100,0.78
258,Alofi,NU,2022-04-25 03:29:14,-19.0595,-169.9187,84.09,74,40,5.75
259,Kelvington,CA,2022-04-25 03:29:15,52.1667,-103.5343,26.98,88,59,8.68
260,Guerrero Negro,MX,2022-04-25 03:29:16,27.9769,-114.0611,65.28,60,0,18.77
261,Henties Bay,NA,2022-04-25 03:24:46,-22.116,14.2845,58.44,84,0,6.49
262,Half Moon Bay,US,2022-04-25 03:29:17,37.4636,-122.4286,63.28,75,20,25.32
263,Mardin,TR,2022-04-25 03:29:18,37.3131,40.7436,56.46,48,100,5.75
264,Awjilah,LY,2022-04-25 03:29:19,29.1081,21.2869,67.12,47,2,8.59
265,Arsk,RU,2022-04-25 03:29:20,56.0915,49.8778,47.61,82,99,6.2
266,Araouane,ML,2022-04-25 03:29:20,18.9048,-3.5265,74.46,25,0,9.46
267,Usinsk,RU,2022-04-25 03:29:21,65.9939,57.5281,26.82,96,92,9.1
268,Ulaangom,MN,2022-04-25 03:30:22,49.9811,92.0667,37.53,27,3,7.85
269,Fare,PF,2022-04-25 03:30:22,-16.7,-151.0167,80.69,72,21,5.3
270,Poltava,UA,2022-04-25 03:25:54,49.5937,34.5407,45.79,82,11,3.87
271,Ilulissat,GL,2022-04-25 03:30:24,69.2167,-51.1,26.62,93,100,0.0
272,Tuatapere,NZ,2022-04-25 03:30:24,-46.1333,167.6833,53.38,78,82,14.5
273,Kamiiso,JP,2022-04-25 03:30:25,41.8167,140.65,55.78,76,75,6.91
274,Khasan,RU,2022-04-25 03:30:26,42.4308,130.6434,53.42,63,0,8.72
275,Souillac,MU,2022-04-25 03:30:26,-20.5167,57.5167,75.58,78,75,12.66
276,Tarakan,ID,2022-04-25 03:30:27,3.3,117.6333,80.1,89,75,6.91
277,Amahai,ID,2022-04-25 03:30:27,-3.3333,128.9167,85.05,71,100,7.36
278,Maridi,SS,2022-04-25 03:30:28,4.9158,29.4742,67.05,97,100,5.19
279,Pevek,RU,2022-04-25 03:30:28,69.7008,170.3133,16.2,89,73,1.01
280,Lunel,FR,2022-04-25 03:30:29,43.6778,4.1361,55.31,71,0,14.97
281,Anloga,GH,2022-04-25 03:30:29,5.7947,0.8973,81.68,81,100,8.34
282,Udachnyy,RU,2022-04-25 03:30:30,66.4167,112.4,21.99,71,67,3.85
283,Imbituba,BR,2022-04-25 03:30:30,-28.24,-48.6703,64.72,92,25,12.82
284,Vao,NC,2022-04-25 03:30:31,-22.6667,167.4833,74.28,66,100,24.38
285,Pandan,PH,2022-04-25 03:30:31,14.0453,124.1694,85.96,73,79,10.63
286,Kushima,JP,2022-04-25 03:30:32,31.4583,131.2333,75.24,74,96,4.79
287,Khandyga,RU,2022-04-25 03:30:32,62.6667,135.6,34.97,66,99,2.17
288,Flin Flon,CA,2022-04-25 03:30:24,54.7682,-101.865,21.69,67,15,9.28
289,Ponta Delgada,PT,2022-04-25 03:30:33,37.7333,-25.6667,57.92,77,40,12.66
290,Rio Gallegos,AR,2022-04-25 03:28:08,-51.6226,-69.2181,42.85,93,100,9.22
291,Abashiri,JP,2022-04-25 03:30:34,44.0213,144.2697,59.29,25,40,17.27
292,Carnarvon,AU,2022-04-25 03:30:34,-24.8667,113.6333,80.67,54,44,11.5
293,Coquimbo,CL,2022-04-25 03:30:36,-29.9533,-71.3436,55.13,94,20,5.75
